subject_id,scenario_label,intimacy,motivation,action,p_action
0872f56d-77a1-55ee-a5a1-726393de53df,birthday,75,low,1,0.43
0872f56d-77a1-55ee-a5a1-726393de53df,birthday,75,low,2,0.19
0872f56d-77a1-55ee-a5a1-726393de53df,birthday,75,low,3,0.19
0872f56d-77a1-55ee-a5a1-726393de53df,brunch,50,high,0,0.14
0872f56d-77a1-55ee-a5a1-726393de53df,brunch,50,high,1,0.14
0872f56d-77a1-55ee-a5a1-726393de53df,brunch,50,high,2,0.58
0872f56d-77a1-55ee-a5a1-726393de53df,brunch,50,high,3,0.14
0872f56d-77a1-55ee-a5a1-726393de53df,cooking,75,low,0,0.67
0872f56d-77a1-55ee-a5a1-726393de53df,cooking,75,low,1,0.11
0872f56d-77a1-55ee-a5a1-726393de53df,cooking,75,low,2,0.11
0872f56d-77a1-55ee-a5a1-726393de53df,cooking,75,low,3,0.11
0872f56d-77a1-55ee-a5a1-726393de53df,dip,0,low,0,0.61
0872f56d-77a1-55ee-a5a1-726393de53df,dip,0,low,1,0.13
0872f56d-77a1-55ee-a5a1-726393de53df,dip,0,low,2,0.13
0872f56d-77a1-55ee-a5a1-726393de53df,dip,0,low,3,0.13
0872f56d-77a1-55ee-a5a1-726393de53df,drinks,100,low,0,0.13
0872f56d-77a1-55ee-a5a1-726393de53df,drinks,100,low,1,0.13
0872f56d-77a1-55ee-a5a1-726393de53df,drinks,100,low,2,0.13
0872f56d-77a1-55ee-a5a1-726393de53df,drinks,100,low,3,0.61
0872f56d-77a1-55ee-a5a1-726393de53df,driving,50,high,0,0.1
0872f56d-77a1-55ee-a5a1-726393de53df,driving,50,high,1,0.7
0872f56d-77a1-55ee-a5a1-726393de53df,driving,50,high,2,0.1
0872f56d-77a1-55ee-a5a1-726393de53df,driving,50,high,3,0.1
0872f56d-77a1-55ee-a5a1-726393de53df,fair,0,low,0,0.08
0872f56d-77a1-55ee-a5a1-726393de53df,fair,0,low,1,0.76
0872f56d-77a1-55ee-a5a1-726393de53df,fair,0,low,2,0.08
0872f56d-77a1-55ee-a5a1-726393de53df,fair,0,low,3,0.08
0872f56d-77a1-55ee-a5a1-726393de53df,gala,0,high,0,0.2
0872f56d-77a1-55ee-a5a1-726393de53df,gala,0,high,1,0.4
0872f56d-77a1-55ee-a5a1-726393de53df,gala,0,high,2,0.2
0872f56d-77a1-55ee-a5a1-726393de53df,gala,0,high,3,0.2
0872f56d-77a1-55ee-a5a1-726393de53df,hike,50,low,0,0.2
0872f56d-77a1-55ee-a5a1-726393de53df,hike,50,low,1,0.4
0872f56d-77a1-55ee-a5a1-726393de53df,hike,50,low,2,0.2
0872f56d-77a1-55ee-a5a1-726393de53df,hike,50,low,3,0.2
0872f56d-77a1-55ee-a5a1-726393de53df,oysters,100,low,0,0.15
0872f56d-77a1-55ee-a5a1-726393de53df,oysters,100,low,1,0.55
0872f56d-77a1-55ee-a5a1-726393de53df,oysters,100,low,2,0.15
0872f56d-77a1-55ee-a5a1-726393de53df,oysters,100,low,3,0.15
0872f56d-77a1-55ee-a5a1-726393de53df,social,50,low,0,0.76
0872f56d-77a1-55ee-a5a1-726393de53df,social,50,low,1,0.08
0872f56d-77a1-55ee-a5a1-726393de53df,social,50,low,2,0.08
0872f56d-77a1-55ee-a5a1-726393de53df,social,50,low,3,0.08
0872f56d-77a1-55ee-a5a1-726393de53df,soup,100,high,0,0.1
0872f56d-77a1-55ee-a5a1-726393de53df,soup,100,high,1,0.1
0872f56d-77a1-55ee-a5a1-726393de53df,soup,100,high,2,0.1
0872f56d-77a1-55ee-a5a1-726393de53df,soup,100,high,3,0.7
0872f56d-77a1-55ee-a5a1-726393de53df,takeout,75,high,0,0.12
0872f56d-77a1-55ee-a5a1-726393de53df,takeout,75,high,1,0.64
